1578266400.0;7350.78000000;7354.73000000;7345.00000000;7346.73000000;108.21312500;1578266699999;795263.58045001;1015;60.51014500;444729.99257078;0
1578266700.0;7345.96000000;7354.73000000;7345.95000000;7349.19000000;88.02015800;1578266999999;647031.61217381;830;51.60598500;379366.56081684;0
1578267000.0;7349.19000000;7363.35000000;7349.19000000;7362.65000000;102.14014700;1578267299999;751751.00134412;752;55.93625500;411671.94522954;0
1578267300.0;7362.65000000;7362.66000000;7351.09000000;7356.73000000;99.24951800;1578267599999;730326.94137029;811;42.07598000;309616.71073512;0
1578267600.0;7356.28000000;7362.50000000;7350.13000000;7356.54000000;76.17234300;1578267899999;560365.90936520;752;43.47026700;319790.25105768;0
1578267900.0;7355.80000000;7356.61000000;7345.00000000;7345.11000000;128.81680600;1578268199999;946760.06445773;844;48.66671500;357665.32907877;0
1578268200.0;7345.85000000;7351.00000000;7342.97000000;7350.82000000;70.66644300;1578268499999;519201.49302493;714;39.17248700;287819.71797892;0
1578268500.0;7350.15000000;7362.95000000;7347.50000000;7358.75000000;67.61071700;1578268799999;497366.74899086;715;35.73550400;262849.85798358;0
1578268800.0;7357.64000000;7359.38000000;7346.76000000;7358.28000000;162.29424700;1578269099999;1193129.22050156;977;108.54255500;797907.48423463;0
1578269100.0;7359.08000000;7361.58000000;7353.54000000;7359.08000000;90.40458900;1578269399999;665183.63328716;838;39.58037300;291221.10694438;0
1578269400.0;7359.14000000;7373.96000000;7357.18000000;7368.35000000;182.28025900;1578269699999;1342738.23819102;1032;111.27941300;819651.12401937;0
1578269700.0;7367.29000000;7369.44000000;7352.41000000;7358.15000000;109.45797400;1578269999999;805816.98966147;955;62.43935100;459740.14287402;0
1578270000.0;7359.31000000;7370.00000000;7352.55000000;7362.20000000;130.49476700;1578270299999;960895.79654079;825;58.84987700;433266.78275052;0
1578270300.0;7363.27000000;7367.97000000;7352.68000000;7358.99000000;110.80173900;1578270599999;815252.92339179;971;67.79486300;498803.68411446;0
1578270600.0;7358.76000000;7362.71000000;7350.09000000;7361.39000000;59.78769800;1578270899999;439730.66631510;624;29.37730900;216086.64020688;0
1578270900.0;7360.88000000;7369.99000000;7359.96000000;7366.45000000;93.23045000;1578271199999;686606.99790406;681;47.18162200;347458.80383655;0
1578271200.0;7366.43000000;7371.74000000;7365.00000000;7368.20000000;70.94798900;1578271499999;522820.43311884;645;28.27795600;208375.01127987;0
1578271500.0;7368.20000000;7373.00000000;7362.02000000;7365.44000000;124.86573300;1578271799999;919928.91257195;764;45.50824600;335368.05141887;0
1578271800.0;7366.12000000;7381.68000000;7365.72000000;7376.51000000;125.14179300;1578272099999;922893.58771720;959;77.12941300;568798.24580166;0
1578272100.0;7377.42000000;7384.72000000;7373.46000000;7378.75000000;99.16054900;1578272399999;731653.07599642;1128;36.22299700;267280.66295050;0
1578272400.0;7378.97000000;7392.83000000;7373.49000000;7380.76000000;223.87855700;1578272699999;1652516.24008779;1449;119.04026200;878513.25314667;0
1578272700.0;7380.76000000;7387.11000000;7372.08000000;7374.20000000;140.09970800;1578272999999;1033696.70087014;1433;72.07699000;531834.58938913;0
1578273000.0;7374.20000000;7379.37000000;7368.55000000;7374.45000000;71.26003700;1578273299999;525480.49442580;866;33.58050200;247656.13118822;0
1578273300.0;7374.92000000;7379.66000000;7370.00000000;7377.00000000;57.31693400;1578273599999;422683.24341858;743;32.33397700;238452.20369302;0
1578273600.0;7376.99000000;7387.19000000;7371.00000000;7386.00000000;76.82810200;1578273899999;567024.39590880;735;41.59470900;306995.21859880;0
1578273900.0;7386.00000000;7389.47000000;7369.18000000;7378.28000000;100.51630600;1578274199999;741603.52083970;974;47.98610200;354047.66563572;0
1578274200.0;7376.58000000;7387.00000000;7371.26000000;7387.00000000;62.53846100;1578274499999;461347.13189516;719;38.09044100;281001.57522980;0
1578274500.0;7386.96000000;7390.00000000;7378.94000000;7379.99000000;87.33961400;1578274799999;645035.89834937;843;29.48998300;217795.15929374;0
1578274800.0;7379.99000000;7390.70000000;7379.73000000;7387.60000000;82.46664200;1578275099999;609042.00043154;971;40.55613200;299522.81902831;0
1578275100.0;7387.60000000;7395.15000000;7386.39000000;7395.15000000;182.97368500;1578275399999;1352440.39975535;1304;117.72470100;870146.87322961;0
1578275400.0;7395.15000000;7407.99000000;7395.00000000;7398.69000000;303.66094800;1578275699999;2247340.00695978;1793;211.46395300;1565011.96712377;0
1578275700.0;7398.56000000;7426.82000000;7397.35000000;7423.50000000;241.34854700;1578275999999;1789856.45565660;2269;133.28581200;988181.90148180;0
1578276000.0;7423.06000000;7481.41000000;7421.64000000;7479.05000000;657.97806500;1578276299999;4899745.11914363;4851;459.72783100;3424091.79498172;0
